"GeneSymbol","SAMf2ce197162ce","SAM698d8d76b934","SAMc1b27bc16435","SAM85e41e7f33f9","SAMf275eb859a39","SAM7f0d9cc7f001","SAM4305ab968b90","SAMcf018fee2acd","SAMb2f1d0e54ece","SAMcc4675f394a1","SAM49f9b2e57aa5","SAM2e7aa8fa0ab3","SAMd0e47be700b0","SAMdf3e42c8672a","SAMd027124354ce","SAM36d87392593b","SAM4edbe45817b3","SAM36a9225b0222","SAMe7bf6c015192","SAM6dd7ad1d797d","SAMc0d625a50eb8","SAM18039827e1b9","SAM681e4bf7cf85","SAMc692536a795a","SAM9a2cf3c06fb3","SAM557dde1b9f3e","SAMb8f13a0525a6","SAM23aa15d4a0b0","SAM468a9e1dc821","SAM81b71522417a","SAM6cb230f208a8","SAM0684af734db1","SAMb963dda93cfd","SAMa9ca8536d2b1","SAM9fb814c22bdb","SAMbcbc7957c264","SAM7fb6987514a4","SAM63405b04ab2d","SAM18bc1078bc15","SAM7d2dfba6cd84","SAMd1bd63734394","SAMe9ae8beb82fa","SAMb0a83e5fbde9","SAMba7176afe070","SAMae1690469964","SAMbe83eae4026e","SAMe5bc41772bc9","SAM23095936e611","SAM7114d99032ec","SAMd215b503f99a","SAMdb3f50c9129c","SAMbf1a3ae828e6","SAM52e3fa3ad574","SAMd4c0837b0997","SAM9cafb905b36a","SAM3f2033c90438","SAM032c642382a7","SAM5ffd7e4cd794","SAMb419a8fcbfcd","SAM8884fe446d20","SAM17c45bf16bb6","SAM2070b416069c","SAM0ce9c983b20f","SAMa1e62d323e1d","SAM61baf919bb01","SAM97a00e0929fb","SAM2f228939632f","SAM9539a4f19ebc","SAM36851bc8b9ae","SAM297c0301e861","SAM1fa6bcb7fc48","SAM075e037d95bc","SAM6d2ae0c39b96","SAMcabb6d58ff55","SAM716f54e468f4","SAMeff2ce356ccb","SAM110501d0eedb","SAM2e9ac0b1b250","SAMc0ef41aa6c8b","SAMd636e3461955","SAMe712352fb82a","SAM30b5c6c54cf7","SAMd98bac0a070f","SAM8e8ef2368dfa","SAM08cce2fa88f2","SAMb4c7a001537d","SAMfd947610629d","SAM943df5cf15df","SAM31f41dd0d6ca","SAMb3c02294aba7","SAM39eb94fa504d","SAM62fb1388c871","SAMc0da5d48686d","SAMe7bcab05402e","SAM2570ff4aae6e","SAM2dc3f04e45e9","SAM9448d858692c","SAM4501e41e4751","SAM714285adf612","SAM5b57e47fdcb3","SAMae4da274eded","SAMd35318127278","SAMa913c6139ec8","SAM75142fcab9df","SAMd697ba701077","SAM166a419a4e5a","SAM025b45c27e05","SAMe07c4560772d","SAM2dc578e0165f","SAM3785587846ce","SAM560f23d6a3ad","SAM52500cabdd36","SAM14df63a65411","SAMf3a9bce50099","SAMffa5c7cad0e5","SAMdab9ca8fb5de","SAM34430ef08e5b","SAM4b0175e8db6e","SAMf28c01545593","SAMaec7380f9ab0","SAMaf7578d55754","SAMbd8ee73983b8","SAMe94c30c30616","SAM54e58f1b0230","SAM5e3bae090b8c","SAM3cb94b0d5297","SAM61b9d4d84c64","SAM8a42c0d59187","SAMcb132b0cdd2c","SAMe97af0feefdf","SAMee3844cc0b9f","SAM73b653ae20d1","SAMdcae54fcd7fa","SAMdad5c29dc105","SAMa424c75831b4","SAM28687037e4ff","SAMe50d15fde368","SAM45c8e6412c66","SAM8533e5e261d6","SAMaaf505c36f93","SAM73663ee4a96e","SAM0bdb3428bd13","SAM3330c03fdf00","SAM0a7c2091dd56","SAM7bff231634e9","SAM5d1dfd5207f5","SAMeb587a68006b","SAM99a46b9eec27","SAM1ac4e3dee297","SAM553c3c35b847","SAM3e04eb914f3d","SAMc2a1820d4e6b","SAM822b226466a1","SAMabc151b01ea3","SAMe1eb5d988760","SAMe3210d3632b4","SAMb15ad09d6e24","SAM7893196e0e89","SAM3f446449bf81","SAM961d04c42bd9","SAMb0d11db9aa79","SAM19fec8f3b3bd","SAM6083aac8db99","SAM7ee2b6e4d6b3","SAMa90d73f8d891","SAMaff272833538","SAM415f36ad349e","SAM7c67b05aa109","SAMad83c9c53537","SAM3e8baff50d7a","SAM3ee5dcd894f0","SAM8a1b0e02ee42","SAMd7d57ee3a863","SAMeb29625f76a5","SAM563d6233dfa2","SAM4581bac493af","SAMa1871f491b02","SAM30cf07d4874f","SAM31291c256373","SAMd135d5867fe3","SAM9e11ec6bea80","SAM065890737112","SAMb470eb8f04be","SAM675a12a09c15","SAM1e9c4d1d39ae","SAM5a2347c0498a","SAM0571f17f4045","SAM4b7ea015fd9e","SAM9306c5c92444","SAMb15ac6e4c4ef","SAM28e6031ac18b","SAMd86389d0d768","SAM63b2189c36d7","SAM18be5b395318","SAM0d855cff64e6","SAM6cbc10abddb0","SAMdee1011782cd","SAMe9475f77504b","SAMa535fcdf18a0","SAM7746b76437e6","SAM548551ef782c","SAM203dcf14f927","SAMe41b1e773582","SAM978a587b207e","SAM5234688806a7","SAM2c9586161ce6","SAM76a431ba6ce1","SAM7a9093b9c7e9","SAM8f2275c36e8c","SAMab8052a03398","SAMd3bd67996035","SAMfddc359e862b","SAM753d4bb52dbe","SAMd3601288319e","SAM59f392864f5d","SAM26104d5adc89","SAMba1a34b5a060","SAM18a4dabbc557","SAMfb7aec7cb0e2","SAMfed609955db9","SAMb8070b7937e7","SAMf2aae1443f67","SAM2bba8cb35e48","SAMcee0fa8c05b4","SAM5c139c5c1c4f","SAMc1251c7bfee2","SAM6780ed436b55","SAM85f0a3ac1c45","SAM9d2494119c05","SAM9410b866974a","SAM5d989c86255e","SAM27299aed7681","SAM49d48750e294","SAMd43f8933066b","SAM7aa01fc49a80","SAM0257bbbbd388","SAMc919aebc7fdd","SAMa321770ac31c","SAM3894ac3956a5","SAM3779e979db6b","SAM1c0ecfb3eb63","SAMbf91f27e7f9b","SAMbcb07ba81cee","SAM9aa6a095a9d6","SAM957378bd907f","SAMf82bbdc267c8","SAM2624229effe8","SAMd2492b2a31bb","SAM670649e105b5","SAM91c47b054ffb","SAM491e341d5a82","SAM5fe7a81a39dd","SAM29da928587ad","SAM0a0f2bac4b20","SAM8e469834acc1","SAM8e43e9caf307","SAM99b1f6a9534e","SAM12502d970c10","SAM9681450bbc90","SAM7d7c54623618","SAM181b638b8248","SAMbfdffb97c446","SAM3b15b4c6311d","SAM00b9e5c52da9","SAM59b825252c0d","SAM1c8b086175ca","SAMeaa477a5384b","SAM1dda30f1c5be","SAM9eebdef2858a","SAM9daccafc18db","SAM2eb07dedf07f","SAM25510f300d79","SAMbda79f955628","SAM9b9d48b0b02c","SAMff41c4e8c08f","SAMc97f35a29d16","SAM187e056d6a2a","SAMbc8dc3a7b54e","SAM7b40007f4aa4","SAM568ce160abd9","SAM14938611a2d3","SAM1a87df750b9d","SAMae02629a97f7","SAM47fc46c3d6be","SAM7829a341b9f3","SAM0f956e757453","SAMaf42c1541269","SAM09c84ec0cf34","SAM7538ad9ff524","SAM95c70496ffb5","SAM7edacb3deb65","SAMb2e4a082541a","SAM771445e92421","SAM59fda9035d1d","SAM727c0e92a2a7","SAM6f2a102a99df","SAMe56c96c51190","SAM2b672f4336c7","SAM1ab1b28d9f2b","SAM1bcc62d8290c","SAM6662f5181f87","SAMe0c49ea0df5d","SAM59289ca42c99","SAM18b9351e265a","SAM7fb7a13c096b","SAM87a8e18eb45b","SAM1f3c93814cb9","SAM5fc9ae0aed1f","SAM9725303dce0c","SAM6ff654a20f98","SAM65afda25b920","SAMef0e3d2415fd","SAM07a93a28f801","SAM94859b440b1d","SAM58e7832f4e7d","SAMc57eadb2d82b","SAMd5ab7fbfab4e","SAM5767dd75d142","SAMaabf4afe4213","SAMcc7a42d87e9c","SAMce39dd79b441","SAM75f12d1a55fc","SAM6964a6d7b967","SAM3b1066e5801b","SAMf20b827dca51","SAM6792d6e98068","SAM31d9176e11fb","SAM04c589eb3fb3","SAM5cc2d9036053","SAMb8101c538753","SAM80c6183220e6","SAM572f19794c96","SAM1abf01dd4544","SAM1f83ebd6be9b","SAM1f66db567eb5","SAM4918c524b83a","SAMa0ca029b7afd","SAM6157c8f38b72","SAMe7e4f7c076a7","SAMbe25e2c88f3e","SAM4caabd64e7fd","SAMc6eff056c89a","SAM5cfa1699bdb7","SAMda4d892fddc8","SAM3a1c9632ff7b","SAM8b4b8b0f9e73","SAMe3d4266775a9","SAM2de7cffb5f72"
"B2M",85972,93481,35607,178163,282257,38811,43354,128680,94464,75606,34591,83664,159837,43871,68358,72877,190876,263348,165225,188547,57019,57608,159090,141993,212517,47556,65356,38599,31504,45729,35628,131654,129178,88830,152213,96964,201937,83700,61972,46788,273209,254540,39648,22014,298954,107920,83219,36446,26006,79087,50890,103197,112347,78862,207134,112029,118021,151474,31356,157082,30568,49176,84984,92149,93074,36529,105769,62108,36831,111035,171711,31520,44983,54842,174524,73316,77820,39618,28448,124706,188997,52753,111095,70892,25104,101894,44391,133760,117764,82662,89121,70528,83251,95989,253714,242323,233870,134521,266471,38563,140661,97346,104789,120559,111981,158227,101261,33041,96312,60629,349841,14890,210770,47517,77673,196361,27487,41968,25737,71284,167948,30556,111396,51496,261471,45203,164895,39485,95169,78786,138328,132306,63014,89262,154524,453953,54547,254535,65946,72348,88094,57718,239741,84337,156501,88573,108397,206039,46284,204826,132587,180175,40234,53394,216881,160553,221320,81256,260283,119869,292466,29076,169055,108316,45624,80356,77982,33403,73809,96272,65220,89322,127835,265403,10720,128296,223581,118293,190105,89284,171244,234904,245811,21988,134108,79462,155892,19532,129606,168158,96282,38674,37114,140983,147156,162946,128236,70081,139194,63817,109664,220705,171049,102561,27115,64908,103565,94371,163474,120381,104427,95426,123215,179151,136614,50987,80251,154467,239927,84563,73304,74824,49689,103972,53644,127037,142984,39838,49117,84253,49025,97005,44820,139237,123834,92589,142211,112790,135061,92719,202290,130309,18572,65824,151628,21086,27690,99745,71544,71108,52280,81723,36393,248915,62267,120269,95353,48048,183001,52345,121393,111029,176177,115517,163438,62887,147312,167973,33454,23262,89793,93203,80910,113961,192493,9103,43465,38431,26539,20925,114733,137587,44974,78861,47055,26024,76280,44684,55812,49217,16972,69295,61715,34009,192716,177257,86371,29416,47170,30868,92654,56923,41661,119545,20639,53418,45132,104556,42271,30007,37539,114861,23158,12067,13229,50675,126934,42986,24776,78747,43107,75803,23495,31447,75571,32000,50496,8567,13859,64425,34735,82310,48111,32718,77724,53143,24235,47855,153653,93432,28996,68010,55031,28164,16511,46135,28756,32641
"C1S",69296,21003,8049,51458,11390,25472,7020,24095,62467,163427,8416,19575,7499,14021,89476,37134,28329,185431,31734,54604,105321,11899,30937,64418,55379,18094,23405,18613,9910,3997,20760,11963,41148,64987,72714,10591,95664,42419,14350,27544,48980,74183,7027,2297,9828,23624,81111,14707,20725,74264,29295,61649,14104,16430,7125,23333,19799,261707,8710,78101,2968,11175,35622,37319,46887,8473,38853,6431,8719,66841,17826,3270,7714,17012,79297,2665,19050,7611,9929,114868,15394,12735,37810,73759,4912,5348,44786,65986,49153,4507,25031,25636,9619,158861,59244,198115,79930,43868,52124,13364,40949,6829,57695,50396,27481,148645,98414,1268,15610,16840,18306,7209,26423,38343,84892,47028,12742,27793,3012,3101,57977,28570,38661,3492,32855,14225,20075,7891,18311,27288,117162,36269,52926,24147,15025,79570,4508,95067,1806,24512,19023,53085,40834,35279,7196,4575,90699,70789,3079,43446,56869,59216,5933,77406,61456,73171,78947,42788,31572,38779,14845,14741,24926,8642,13696,56451,48219,2870,30150,2254,14869,11847,84964,16062,2554,16133,1917,135221,54863,37421,26114,18091,33723,27490,8189,10114,17414,2177,16189,26324,4408,4445,11668,11891,4933,23991,89044,55219,13279,3763,12082,36613,23317,45008,1297,8437,43672,46697,22191,80655,20602,50131,69665,22385,56424,31633,47092,4690,102972,27871,21416,6692,37314,32283,14034,13116,25357,8011,110945,37469,33381,12018,60557,28164,78443,20830,31397,53595,65368,73935,92195,59377,15386,15593,17320,9476,44747,66500,36447,13799,18498,22088,19641,53459,55794,12768,15576,9244,52256,3425,42876,36858,31983,62078,27224,66498,11770,77780,5580,17299,21653,44952,16657,18432,77481,1148,19786,3599,1071,25425,18182,41653,11491,22704,6505,27574,25559,13773,3569,41378,6011,18115,27012,38650,22586,19004,27877,9739,10285,2110,30361,29570,20196,29969,12403,4587,25545,28988,15551,25099,25368,39506,10310,2053,1193,14922,11720,7475,9717,10126,15396,37385,1866,15832,35528,2422,9062,4747,8693,9252,16411,12535,17827,4199,49454,13871,11662,35555,53723,30748,7864,15392,35449,13383,4220,40353,18937,5764
"CD74",13388,12048,3205,17883,36199,8535,23330,30392,29135,11082,5362,12061,4167,6414,7436,7184,15857,48281,27621,30954,12370,6342,13483,15778,17707,8888,14828,11119,3673,1796,2753,4073,31309,16231,34267,7541,39264,6948,12509,12596,29589,32091,3836,3913,36291,10303,13603,4790,4512,9491,9335,21022,53721,11507,47245,11207,30524,18180,3675,24756,3124,14546,15957,17099,31785,3844,16803,5720,6348,16071,24413,657,18474,15650,28572,4238,14113,5815,3769,26519,5701,7047,14224,22394,1424,6873,6447,9290,29049,4106,17601,10900,3092,41985,21402,57387,18691,27642,66176,7051,26725,19004,30285,39240,18816,18352,18577,1309,11000,4217,44948,4693,17981,15235,16555,19604,8048,18212,2237,3925,23708,6837,10160,1676,10886,15553,22278,1105,25570,12458,38773,13255,11295,9205,7088,47563,2805,50861,6161,15756,18017,21831,69646,8848,14685,4471,19381,44612,2722,54199,28343,31702,3951,6533,28072,39922,48132,8177,18541,14411,37635,7329,32879,5748,3149,19572,27759,1423,16585,132436,7597,4491,27518,17165,2353,32791,16478,24188,24302,28397,36727,25832,13724,7421,11384,25750,51161,1334,14299,30965,1953,5992,3643,5354,2836,19552,31879,8285,2258,2235,5077,59750,9488,40068,4829,5990,26019,19363,23546,30450,29280,23145,24462,18508,14170,4134,20194,18833,37120,7159,15276,5278,5938,22599,6483,7506,14089,1898,4994,31795,8151,5135,6642,19434,18324,14488,23684,18536,23434,16993,26648,19109,6354,14078,45370,2114,5583,17070,16081,12796,4323,11011,4639,19839,11315,4462,4748,4000,41398,4288,30631,12455,24693,30925,41437,4609,37868,24317,2259,4307,9470,5598,7396,15555,21941,479,7798,5927,2404,4763,22015,17202,3726,28358,14598,14265,25924,7928,9474,22226,2686,47295,15533,9992,50033,19387,26609,7224,2574,4247,21359,15506,10913,40622,9138,4430,17342,26612,18039,16690,9181,50524,6463,2850,2639,2717,34922,12692,11737,14806,4587,33589,1579,11370,32845,4927,12722,3813,2577,15079,9196,17469,5855,1598,15949,4235,6806,13809,42601,18367,5011,13501,19615,12146,2485,19093,4872,9039
"CFB",7567,1265,432,6589,33548,1548,199,4146,19519,167237,1199,1548,536,2005,1594,4359,3581,16277,4570,2464,4572,12236,2730,3094,2075,1142,985,2578,1835,282,1085,7887,12554,4603,6990,1046,11667,4786,24338,7454,8536,13006,549,1397,7608,4447,58728,629,1484,4717,1872,1429,848,1459,2096,2425,3482,180111,777,9354,672,4462,2839,3186,5959,2490,2071,530,1221,6251,4066,252,1907,38139,9733,1421,871,9071,1585,3081,1356,4253,2715,9630,154,434,1916,5860,4692,47544,1109,3142,778,18801,5851,11557,13159,4123,11924,1227,5108,767,5652,9569,7483,21698,5243,259,1831,1348,51258,458,8561,3467,21737,3681,1440,3755,1647,174,14607,1090,2367,608,8247,1667,1680,406,1361,9639,14548,1424,8023,1541,2182,6606,2404,17133,5307,1495,2100,3401,2606,2994,3068,697,5598,10228,488,10215,4662,3675,256,87321,8293,21705,11149,2083,4135,5733,3439,1363,2443,1404,554,6597,40864,589,6789,9381,2855,6299,16124,823,1782,9171,4948,16812,8608,6516,12639,1525,2839,1809,49325,5529,1126,409,14831,7905,171,643,416,5143,3379,1103,4002,1795,809,1769,57654,7102,3826,1722,176,1313,7476,4181,14807,42031,3173,2730,4286,1254,4825,1744,6670,8640,16445,3111,7105,12519,635,5094,2281,3071,1277,498,132132,124885,6505,11528,2815,3887,1988,20160,4595,2858,6503,5788,15402,2758,2317,3047,1142,197,1627,4209,2748,1636,2397,1567,2863,11706,3664,1338,1944,1668,3056,590,6194,2997,9978,4853,2651,5187,7901,3589,1262,562,2025,23697,741,2800,4353,41,2787,823,1226,478,10243,2829,895,39893,1838,2402,6761,2699,2271,2554,972,1138,1381,2426,51973,16877,5993,989,736,516,2535,5565,3114,3551,2213,1099,14259,3844,5873,1749,1326,8663,513,905,233,460,1229,2087,811,3458,4219,12928,1556,649,8099,476,1686,811,212,10412,2486,2282,2654,303,3293,1084,750,1633,11502,3237,424,2337,7378,1431,140,4314,793,2101
"CTSS",5267,3196,1685,3838,8668,2773,1555,9429,4907,6119,1267,3395,2182,2097,2334,2309,4075,11180,10120,6885,4508,4154,5796,5042,6104,1816,2483,2558,2838,1874,1573,1812,5734,4144,8565,6974,8903,3594,3934,2769,19515,9556,1017,2262,6885,3856,5325,1852,2033,4607,2467,6252,6879,3792,9909,4703,8727,10135,2647,5531,2384,3252,4304,6175,8069,1154,5581,3829,2784,8007,4551,1047,5020,2360,15333,3745,6013,1729,4308,17557,4543,2020,6874,3330,1859,3686,2565,3971,7377,3881,4375,5441,2108,8060,6501,14157,7855,3532,12063,3161,5221,7381,7154,8609,4169,6636,4404,1415,8212,3898,23364,893,5539,3645,4771,6203,1880,4027,2837,2198,7070,2366,4516,1944,6305,2837,7518,422,6649,4517,6297,4269,4373,2878,4528,11406,3670,10732,11357,6332,3392,3254,13893,1744,3865,5818,4904,10345,3765,12749,6892,6543,5638,3108,10560,10253,15430,4131,4640,5310,10933,1009,12738,3055,943,4261,6154,2308,3393,7798,5805,3228,8573,6018,440,15356,5774,5684,10471,6312,5590,14175,4687,1781,13688,13206,9435,975,7677,13621,4173,3071,2995,4799,3887,5584,6596,3296,2718,4710,3286,30834,4484,9087,616,3482,4422,4223,3956,8398,5772,4425,6618,6995,6221,1806,3533,11639,11026,3162,4407,3557,2602,6831,3052,2956,4873,2090,2807,7746,2312,3439,1722,4919,5246,5238,5881,8207,8557,5147,6897,4949,1001,3556,8463,590,1168,3011,4576,4499,7068,3658,1114,7677,2314,1780,1604,2842,7620,1462,5784,6693,6138,9408,6769,1931,6517,25415,885,1067,4690,7705,2261,2867,8546,328,2533,1143,828,791,8949,2296,1684,5004,2239,1695,11864,1411,1635,2296,1769,5296,2174,1198,16031,5071,4877,2044,1045,859,4053,2544,1562,6498,1464,1567,3310,5982,5139,2354,1836,8194,1488,935,1931,2563,10021,6661,1763,2212,1015,4856,1556,1471,6263,2150,3069,1080,580,3733,1699,2783,3314,4388,3555,1164,1682,2645,6944,3781,1317,3095,3691,1433,545,2958,1670,1386
"HLA-A",16758,27479,4252,48851,52123,9784,10141,19596,46583,14512,5968,24035,20886,14843,19581,21252,90806,41110,43524,65323,16700,10837,16855,21037,43241,9224,17264,8923,7473,15701,7479,14486,30100,10238,25807,8386,12472,16794,14143,24199,153462,35751,7989,8242,49222,10084,20594,8567,7054,14842,11647,8815,49942,15041,61770,19304,20116,13808,8718,82921,4126,18860,22289,39487,22804,4508,24483,17561,7323,24631,35212,3397,29582,15319,23010,5082,28202,20045,24705,17906,6448,13817,28735,23513,6959,9659,9660,23875,28339,40542,26374,32034,8125,19810,50763,48873,27521,22976,52180,6527,64469,19889,27806,19983,33981,17455,18622,7618,13478,18671,71277,3368,77702,12331,16263,57873,3835,9376,5486,17801,23937,8175,27164,4878,29585,12986,37187,1348,32221,22087,28747,31174,14315,7592,32172,80046,14404,62625,17514,10962,20326,13700,25998,20531,47258,38077,13094,45759,17788,28675,35238,43997,34528,8243,24917,46296,42487,20021,70470,26590,59870,6178,31685,18624,14557,19401,13000,7530,16818,39804,23327,13972,59831,53066,8057,29573,52140,26867,26351,19515,77810,71683,40809,4720,67198,46738,35513,1363,27742,28467,22313,6349,5400,9809,29644,10703,39947,6778,5190,20522,7437,32410,77751,36329,5781,9458,19788,12150,36323,29701,12213,21911,15555,9178,22910,11199,23217,21238,64557,5486,10554,21159,8057,16640,13596,13733,43274,5352,10811,34828,5760,10561,13045,21340,30283,17314,19493,29822,20885,16859,64216,17802,10168,15657,34773,6875,5746,18987,15599,16625,9307,12604,7144,20994,9718,24515,20216,14330,31736,11657,14063,17511,31646,23397,20871,12325,42546,18316,2113,4851,5474,37954,15978,26954,28708,2296,22224,8353,8935,3142,51181,19757,23577,32136,17268,7809,21021,15075,18655,16037,3849,22741,10664,12779,31844,44419,18968,7781,7004,15422,33007,16762,19907,24017,7736,17010,14904,27235,15226,5837,6235,40868,8410,3625,5982,27490,83473,12260,4387,75134,15011,22196,5627,8000,17065,17652,17710,4115,5706,52407,18718,15463,9055,4744,25524,17479,5286,18644,46992,18466,9873,16072,19932,5340,4735,11970,8487,19769
"HLA-B",34599,34586,12771,71790,72122,15962,16339,31141,60848,21517,8603,45426,48458,20468,31522,30108,68047,69108,63357,142351,19971,36402,23866,40404,65350,19333,16393,31147,10857,9890,11203,12252,58661,14758,45438,8113,76291,28197,52631,42066,164233,40985,9667,4712,78305,17153,16088,9023,9926,64486,12792,17318,57302,22690,134032,33804,39284,24378,10876,152095,4702,23293,28009,52600,32612,14985,29425,13644,10548,40461,61465,8590,38388,22248,46424,16884,25004,28286,25444,35320,16698,19280,35179,32148,3105,19826,11481,31363,40639,82057,42232,28156,13953,37722,52357,71892,51736,37984,97045,17861,81022,25856,35815,40667,80733,42567,38345,15558,23294,16376,116296,6300,79365,25453,26662,50016,7815,23803,4713,28751,46762,10281,54099,16092,56868,15434,75489,5296,47337,19723,45432,40211,26730,21559,54619,263878,19535,80935,13211,31407,45030,17834,64079,30433,66016,31186,17827,80561,8262,63836,53483,80660,30346,13015,56769,68266,59785,23201,156945,30023,90284,14452,52377,41660,8700,39222,41462,7547,31764,110555,35365,14162,102300,64050,4502,44753,55065,30503,43311,42486,114574,95661,87961,6965,142362,62750,70705,3286,87887,94731,18636,10064,8101,21351,49662,19929,57582,21593,16344,27605,17371,88790,87456,57528,11502,6360,41797,21718,37924,47210,32662,36422,37449,44939,31738,11100,44177,33513,135290,11686,11827,15686,14237,28155,15313,13209,55759,6652,9536,48449,12934,11511,14311,47378,35588,29936,38035,32929,36171,29250,74080,38028,19737,18382,39597,5165,7308,32059,38866,77756,22189,21120,17715,55772,16859,35890,28356,18569,78153,16126,42572,35638,77729,39070,48522,15108,60767,47582,6904,14131,21480,23667,45785,53553,27071,3008,10428,8164,8986,8986,75307,53881,21517,70775,18969,25230,25898,10771,16556,22704,4142,48499,20067,14415,57018,105450,35928,9223,14243,25228,44311,22128,36360,45749,12659,11644,29619,80426,32778,21154,13801,69855,11556,3678,8652,11493,78099,29767,21798,61294,17215,43841,6290,15781,34859,5247,20924,6906,8330,71224,23969,28194,16147,16494,67084,16655,10345,18963,74755,46341,11388,18800,31823,12141,4803,15252,14404,31411
